mol%Y2O3iO2,T0 (K),Ms (K),T0 (C),"T0 (C, corr)","Af (C, expt)"
0.0,1367.0,1217.0,1094.0,1203.456174927011,1192.7807262424067
0.5,1125.7725838769584,973.3716997837352,852.7725838769584,962.2287588039694,1026.3335672141102
1.0,879.6680643524584,725.024264337683,606.6680643524584,716.1242392794694,858.769313158778
1.5,629.5578655697603,472.84255341378054,356.55786556976034,466.0140404967714,690.0766802882586
