mol%Al2O3,T0 (K),Ms (K),T0 (C),"T0 (C, corr)"
0,1367.0,1217.0,1094.0,1203.456174927011
1,1149.128207070707,997.6131313131314,876.128207070707,985.5843819977181
2,925.4233711014192,772.3622448979593,652.4233711014192,761.8795460284302
3,695.7458762886598,541.1067010309279,422.7458762886598,532.2020512156708
4,459.94872395833335,303.6986262638588,186.94872395833335,296.4048988853444
