mol%La2O3iO2,T0 (K),Ms (K),T0 (C),"T0 (C, corr)","Af (C, expt)"
0,1367.0,1217.0,1094.0,1203.456174927011,1203.456174927011
1,1286.4171702637886,1142.5323741007194,1013.4171702637886,1122.8733451907997,1122.8733451907997
3,1138.3610971209919,1005.3235033259424,865.3610971209919,974.8172720480029,974.8172720480029
5,1005.0230780695599,881.3117525773197,732.0230780695599,841.479252996571,841.479252996571
7,883.8270384300322,768.2200385356455,610.8270384300322,720.2832133570432,720.2832133570432
9,772.8087152808812,664.3095840867992,499.8087152808812,609.2648902078922,609.2648902078922
