mol%Cr2O3,T0 (K),Ms (K),T0 (C),"T0 (C, corr)"
0,1367.0,1217.0,1094.0,1203.456174927011
1,1367.0,1215.4848484848485,1094.0,1203.456174927011
2,1367.0,1213.938775510204,1094.0,1203.456174927011
3,1367.0,1212.360824742268,1094.0,1203.456174927011
4,1367.0,1210.75,1094.0,1203.456174927011
5,1367.0,1209.1052631578948,1094.0,1203.456174927011
