mol%Gd2O3,T0 (K),Ms (K),T0 (C),"T0 (C, corr)","Af (C, expt)"
0.0,1367.0,1217.0,1094.0,1203.456174927011,1206.3817099753712
0.5,1198.257343,1050.180658,925.257343,1034.713517927011,1044.050815743387
1.0,1034.483362,888.1358131000001,761.4833619999999,870.939536927011,880.6304524225973
1.5,875.2453037999999,730.4040107999999,602.2453037999999,711.7014787270109,716.1096152747318
1.8,781.6960204,637.6393735,508.69602039999995,618.152195327011,616.8642519750072
