mol%Al2O3,T0 (K),Ms (K),T0 (C),"T0 (C, corr)"
0,1367.0,1217.0,1094.0,1203.456174927011
1,1335.2165728293207,1181.1820495705306,1062.2165728293207,1171.6727477563318
2,1302.6004347688445,1144.3065459589031,1029.6004347688445,1139.0566096958555
3,1269.0796404609355,1106.2827052630764,996.0796404609355,1105.5358153879465
4,1234.5740939182833,1067.0096869688723,961.5740939182833,1071.0302688452944
