"mol% Y_Ta0.5O2","Ms (K)","T0 (K)"
3.921568627,1150.320438,1357.062007
7.692307692,1129.59875,1300.065959
11.32075472,955.9398372,1175.425621
14.81481481,908.7509881,1050.786113
18.18181818,803.720071,936.9308738
21.42857143,671.2341402,844.6416842
