"mol%Al2O3","T0 (K)","Ms (K)"
0,1367.,1217.
1,1335.2165728293207,1181.1820495705306
2,1302.6004347688445,1144.3065459589031
3,1269.0796404609355,1106.2827052630762
4,1234.5740939182833,1067.0096869688725
