"mol%TiO2","T0 (K)","Ms (K)"
0,1367.,1217.
2,1353.1300713056307,1205.6011802311286
4,1340.4651162790697,1195.1162790697674
6,1328.8979201530003,1185.4601960315563
8,1318.336483931947,1176.5595463137997
10,1308.701754385965,1168.3508771929824
12,1299.9257884972171,1160.7792207792209
14,1291.9502647939212,1153.7969145751783
16,1284.7252747252746,1147.3626373626373
18,1278.2083428310918,1141.4406200136768
20,1272.3636363636363,1136.
