"mol%La2O3iO2","T0 (K)","Ms (K)"
0,1367.,1217.
1,1286.4171702637889,1142.5323741007194
3,1138.3610971209919,1005.3235033259423
5,1005.02307806956,881.3117525773196
7,883.8270384300323,768.2200385356455
9,772.8087152808813,664.3095840867993
