"mol%Al2O3","T0 (K)","Ms (K)"
0,1367.,1217.
1,1149.128207070707,997.6131313131314
2,925.4233711014193,772.3622448979592
3,695.7458762886598,541.1067010309279
4,459.94872395833335,303.69862626385884
