CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
64987	Ti O2	Rutile-TiO2	Acta Crystallographica, Section B: Structural Crystallography and Crystal Chemistry (1975) 31, (*) p1981-p1982	4.5845 4.5845 2.9533 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1	4.264	
75198	Nb O2	Rutile-TiO2	Journal of Solid State Chemistry (1994) 113, (*) p9-p14	4.8463 4.8463 3.0315 90.000 90.000 90.000	2	1273.00	0.101325	Nb1 O2		
80843	Ti0.992 O2	Rutile-TiO2	American Mineralogist (1995) 80, (*) p448-p453	4.5922 4.5922 2.9574 90.000 90.000 90.000	2	300.00	0.101325	O2 Ti0.992		
82656	Ti O2	Rutile-TiO2	Journal of Solid State Chemistry (1996) 127, (*) p240-p247	4.5940 4.5940 2.9589 90.000 90.000 90.000	2	293.00	0.101325	O2 Ti1		
84574	Ge O2	Rutile-TiO2	Acta Crystallographica, Section B: Structural Science (1997) 53, (*) p373-p380	4.4066 4.4066 2.8619 90.000 90.000 90.000	2	293.00	0.101325	Ge1 O2		
84576	Sn O2	Rutile-TiO2	Acta Crystallographica, Section B: Structural Science (1997) 53, (*) p373-p380	4.7374 4.7374 3.1864 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn1		
85492	Ti O2	Rutile-TiO2	Physica B+C: Physics of Condensed Matter + Atomic, Molecular and Plasma Physics, Optics (Amsterdam) (1986) 139, (*) p333-p336	4.5660 4.5660 2.9480 90.000 90.000 90.000	2	293.00	3100	O2 Ti1		
85493	Ti O2	Rutile-TiO2	Physica B+C: Physics of Condensed Matter + Atomic, Molecular and Plasma Physics, Optics (Amsterdam) (1986) 139, (*) p333-p336	4.5480 4.5480 2.9460 90.000 90.000 90.000	2	293.00	5000	O2 Ti1		
85494	Ti O2	Rutile-TiO2	Physica B+C: Physics of Condensed Matter + Atomic, Molecular and Plasma Physics, Optics (Amsterdam) (1986) 139, (*) p333-p336	4.5300 4.5300 2.9210 90.000 90.000 90.000	2	293.00	7600	O2 Ti1		
85495	Ti O2	Rutile-TiO2	Physica B+C: Physics of Condensed Matter + Atomic, Molecular and Plasma Physics, Optics (Amsterdam) (1986) 139, (*) p333-p336	4.5170 4.5170 2.9400 90.000 90.000 90.000	2	293.00	8600	O2 Ti1		
90609	Sn0.912 O2	Rutile-TiO2	International Journal of Inorganic Materials (2000) 45, (1) p155-p157	4.7384 4.7384 3.1865 90.000 90.000 90.000	2	293.00	0.101325	O2 Sn0.912		
