CollectionCode	StructuredFormula	StructureType	Reference	StandardisedCellParameter	FormulaUnitsPerCell	Temperature	Pressure	SumFormula	MeasuredDensity	
414676	Ce Nb O4	Scheelite-CaWO4	Acta Crystallographica, Section C: Crystal Structure Communications (2004) 60, (*) pi37-pi39	5.3769 5.3769 11.5951 90.000 90.000 90.000	4	1073.00	0.101325	Ce1 Nb1 O4		
416479	Sm (As O4)	Scheelite-CaWO4	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (2006) 632, (12-13) p2147-p2147	5.0658 5.0658 11.4613 90.000 90.000 90.000	4	293.00	0.101325	As1 O4 Sm1		
430619	La (As O4)	Scheelite-CaWO4	Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (2016) 71, (5) p439-p445	5.1692 5.1692 11.8608 90.000 90.000 90.000	4	293.00	0.101325	As1 La1 O4		
430620	Nd (As O4)	Scheelite-CaWO4	Zeitschrift fuer Naturforschung, B: A Journal of Chemical Sciences (2016) 71, (5) p439-p445	5.1046 5.1046 11.6032 90.000 90.000 90.000	4	293.00	0.101325	As1 Nd1 O4		
430874	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2376 5.2376 11.1265 90.000 90.000 90.000	4	1126.00	0.101325	Dy1 Nb1 O4		
430875	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2384 5.2384 11.1295 90.000 90.000 90.000	4	1146.00	0.101325	Dy1 Nb1 O4		
430876	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2394 5.2394 11.1323 90.000 90.000 90.000	4	1168.00	0.101325	Dy1 Nb1 O4		
430877	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2405 5.2405 11.1355 90.000 90.000 90.000	4	1192.00	0.101325	Dy1 Nb1 O4		
430878	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2416 5.2416 11.1395 90.000 90.000 90.000	4	1218.00	0.101325	Dy1 Nb1 O4		
430879	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2425 5.2425 11.1425 90.000 90.000 90.000	4	1240.00	0.101325	Dy1 Nb1 O4		
430880	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2442 5.2442 11.1493 90.000 90.000 90.000	4	1284.00	0.101325	Dy1 Nb1 O4		
430881	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2470 5.2470 11.1587 90.000 90.000 90.000	4	1347.00	0.101325	Dy1 Nb1 O4		
430882	Dy Nb O4	Scheelite-CaWO4	Journal of the American Ceramic Society (2014) 97, (10) p3307-p3319	5.2493 5.2493 11.1662 90.000 90.000 90.000	4	1397.00	0.101325	Dy1 Nb1 O4		
